date,home_team,away_team,home_goals,away_goals,home_goals_ht,away_goals_ht,HS,AS,HST,AST,HC,AC,home_big_chances,away_big_chances
2025-09-24,Фрайбург,Базель,2,1,1,0,15,15,5,4,4,4,1,1
2025-09-24,Бетис,Ноттингем Форест,2,2,1,2,9,16,4,6,3,3,1,6
2025-09-24,Ницца,Рома,1,2,0,0,7,12,2,4,3,5,1,1
2025-09-24,Брага,Фейеноорд,1,0,0,0,8,5,2,1,7,2,0,0
2025-09-25,Гоу Эхед Иглс,ФКСБ,0,1,0,1,17,8,7,6,7,1,3,1
2025-09-25,Лилль,Бранн,2,1,0,0,17,12,4,3,11,4,2,3
2025-09-25,Штутгард,Сельта,2,1,0,0,19,8,6,1,9,2,2,0
2025-09-25,Утрехт,Лион,0,1,0,0,11,12,2,4,4,5,2,3
2025-09-25,Зальцбург,Порту,0,1,0,0,15,15,4,3,2,8,3,1
2025-09-25,Астон Вилла,Болонья,1,0,1,0,12,17,4,7,8,3,1,2
2025-10-02,Фейеноорд,Астон Вилла,0,2,0,0,19,6,8,3,8,1,3,2
2025-10-02,Сельта,ПАОК,3,1,1,1,15,5,9,2,5,1,7,2
2025-10-02,Порту,Црвена Звезда,2,1,1,1,18,9,4,2,5,3,5,3
2025-10-02,Ноттингем Форест,Мидтьюлланн,2,3,1,2,22,8,9,5,10,8,4,4
2025-10-02,Лион,Зальцбург,2,0,1,0,15,11,6,5,2,1,6,0
2025-10-02,Базель,Штутгард,2,0,1,0,12,29,4,7,1,9,1,4
2025-10-02,Фенербахче,Ницца,2,1,2,1,17,10,5,3,3,4,2,2
2025-10-02,Селтик,Брага,0,2,0,1,9,13,3,6,7,5,3,2
2025-10-02,Рома,Лилль,0,1,0,1,20,9,6,5,6,3,4,3
2025-10-02,Панатинаикос,Гоу Эхед Иглс,1,2,0,0,33,7,9,4,14,3,2,2
2025-10-02,Лудогорец,Бетис,0,2,0,1,13,12,2,2,6,5,0,1
2025-10-02,Бранн,Утрехт,1,0,1,0,11,7,3,2,4,3,0,1
2025-10-02,Болонья,Фрайбург,1,1,1,0,8,12,3,6,2,8,1,3
2025-10-23,Брага,Црвена Звезда,2,0,1,0,18,9,4,2,5,3,5,3
2025-10-23,Генк,Бетис,0,0,0,0,5,10,1,3,2,1,1,0
2025-10-23,Гоу Эхед Иглс,Астон Вилла,2,1,1,1,5,18,3,7,1,10,2,6
2025-10-23,Лион,Базель,2,0,1,0,18,10,6,3,4,2,2,1
2025-10-23,Фенербахче,Штутгард,1,0,1,0,19,11,7,2,4,7,1,1
2025-10-23,ФКСБ,Болонья,1,2,0,2,9,21,6,7,4,10,3,5
2025-10-23,Лилль,ПАОК,3,4,0,3,22,8,11,7,13,2,5,3
2025-10-23,Ноттингем Форест,Порту,2,0,1,0,8,10,3,2,3,8,2,2
2025-10-23,Рома,Виктория Пльзень,1,2,0,2,20,6,8,2,10,3,3,0
2025-10-23,Сельта,Ницца,2,1,1,1,25,9,6,3,7,4,2,2
2025-10-23,Фейеноорд,Панатинаикос,3,1,1,1,18,12,8,5,3,2,6,4
2025-10-23,Фрайбург,Утрехт,2,0,2,0,14,11,7,2,5,4,2,1
2025-11-06,Динамо Загреб,Сельта,0,3,0,3,10,8,5,3,5,2,0,2
2025-11-06,Зальцбург,Гоу Эхд Иглс,2,0,0,0,17,10,8,2,3,4,2,2
2025-11-06,Ницца,Фрайбург,1,3,1,3,17,16,4,7,5,4,4,3
2025-11-06,Утрехт,Порту,1,1,0,0,11,19,3,8,2,7,2,2
2025-11-06,Црвена Звезда,Лилль,1,0,0,0,11,11,3,3,5,3,2,4
2025-11-06,Штурм,Ноттингем Форест,0,0,0,0,4,9,2,2,0,4,0,2
2025-11-07,Астон Вилла,Маккаби Тель-Авив,2,0,1,0,14,6,8,3,3,1,4,2
2025-11-07,Бетис,Лион,2,0,2,0,9,10,6,3,2,6,3,0
2025-11-07,Болонья,Бранн,0,0,0,0,16,9,3,0,11,3,3,0
2025-11-07,Брага,Генк,3,4,1,1,20,9,6,8,9,2,4,3
2025-11-07,Рейнджерс,Рома,0,2,0,2,11,14,2,3,2,6,4,3
2025-11-07,Штутгард,Фейеноорд,2,0,0,0,13,12,6,4,2,5,4,1
2025-11-27,Фейеноорд,Селтик,1,3,1,2,14,7,4,4,6,2,4,4
2025-11-27,Рома,Мидтьюлланн,2,1,1,0,13,12,6,2,6,6,1,0
2025-11-27,ПОрту,Ницца,3,0,2,0,6,8,3,0,4,3,2,1
2025-11-27,Лудогорец,Сельта,3,2,1,0,7,19,4,7,1,7,4,4
2025-11-27,Лилль,Динамо Загреб,4,0,2,0,17,3,9,0,5,1,7,0
2025-11-27,Виктория Пльзень,Фрайбург,0,0,0,0,19,10,7,6,7,3,3,0
2025-11-27,Астон Вилла,Янг Бойз,2,1,2,0,19,6,8,1,7,0,6,1
2025-11-28,Рейнджерс,Брага,1,1,1,0,12,9,6,5,8,3,2,3
2025-11-28,Ноттингем Форест,Мальмё,3,0,2,0,22,1,10,1,7,0,4,0
2025-11-28,Маккаби Тель-Авив,Лион,0,6,0,3,5,18,0,8,0,3,1,9
2025-11-28,Гоу Эхед Иглс,Штутгард,0,4,0,2,6,20,2,9,2,5,0,3
2025-11-28,Генк,Базель,2,1,2,0,13,13,7,4,2,6,1,0
2025-11-28,Болонья,Зальцбург,4,1,1,1,30,9,14,4,6,2,8,5
2025-11-28,Бетис,Утрехт,2,1,1,0,18,6,7,3,3,3,3,3
2025-11-12,Утрехт,Ноттингем Форест,1,2,0,0,10,19,3,11,7,5,2,5
2025-11-12,Штутгард,Маккаби Тель-Авив,4,1,2,0,15,7,7,2,7,2,4,1
2025-11-12,Ницца,Брага,0,1,0,1,11,9,4,4,7,3,3,2
2025-11-12,Динамо Загреб,Бетис,1,3,0,3,8,15,2,5,5,4,1,3
2025-11-12,Янг Бойз,Лилль,1,0,0,0,11,10,5,1,1,3,4,1
2025-11-12,Сельта,Болонья,1,2,1,0,3,15,1,4,0,5,1,5
2025-11-12,Лион,Гоу Эхед Иглс,2,1,2,1,17,7,6,3,7,1,2,1
2025-11-12,Базель,Астон Вилла,1,2,1,1,11,7,4,4,2,4,1,0
2025-11-12,Фрайбург,Зальцбург,1,0,0,0,28,6,5,3,10,2,2,1
2025-11-12,ФКСБ,Фейеноорд,4,3,1,2,7,14,4,5,3,4,3,3
2025-11-12,Селтик,Рома,0,3,0,3,9,12,2,5,4,4,4,3
2025-11-12,Порту,Мальмё,2,1,2,0,22,7,11,2,5,0,7,2
2025-11-22,Фрайбург,Маккаби Тель-Авив,1,0,0,0,21,4,6,3,5,4,3,0
2025-11-22,Болонья,Селтик,2,2,0,2,36,8,10,5,16,2,4,3
2025-11-22,Янг Бойз,Лион,0,1,0,1,7,13,1,4,3,3,3,0
2025-11-22,Фенербахче,Астон Вилла,0,1,0,1,13,12,8,4,5,5,3,3
2025-11-22,ПАОК,Бетис,2,0,0,0,12,19,4,2,5,8,6,0
2025-11-22,Паок,Бетис,2,0,0,0,12,19,4,2,5,8,6,0
2025-11-22,Фейеноорд,Штурм,3,0,1,0,18,4,6,2,5,2,2,1
2025-11-22,Виктория Пльзень,Порту,1,1,1,0,10,19,2,8,2,7,0,4
2025-11-23,Утрехт,Генк,0,2,0,0,17,12,7,5,2,3,2,3
2025-11-23,Утрехт,Генк,0,2,0,0,17,12,7,5,2,3,2,3
2025-11-23,Брага,Ноттингем Форест,1,0,0,0,6,12,0,5,3,1,1,3
2025-11-23,Сельта,Лилль,2,1,1,0,7,20,4,4,3,7,1,2
2025-11-23,Рома,Штутгард,2,0,1,0,12,15,4,5,2,4,2,3
2026-01-29,Штутгард,Янг Бойз,3,2,2,1,28,12,10,4,8,4,6,3
2026-01-29,Црвена Звезда,Сельта,1,1,0,0,12,5,2,3,4,1,1,4
